block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,shot_number,shot_name
0,0,48,1800,1848,13,1.1554594039916992,10.678747046204116,True,1,SAFOD260002
1,52,96,1852,1896,12,0.9206993579864502,2.0068414930947727,False,1,SAFOD260002
2,100,148,1900,1948,13,1.0030256509780884,5.338360667419533,True,1,SAFOD260002
3,152,196,1952,1996,12,1.1871106624603271,50.130535743195175,True,1,SAFOD260002
4,200,248,2000,2048,13,1.158455729484558,6.00163106648813,True,1,SAFOD260002
5,252,296,2052,2096,12,0.9636342525482178,2.67142763250188,False,1,SAFOD260002
6,300,348,2100,2148,13,0.9820072650909424,3.564010285015624,False,1,SAFOD260002
7,352,396,2152,2196,12,0.8734978437423706,5.260854373352169,True,1,SAFOD260002
8,400,448,2200,2248,13,0.9520400762557983,4.091541225655673,False,1,SAFOD260002
9,452,496,2252,2296,12,0.936082661151886,6.14816415617689,True,1,SAFOD260002
10,500,548,2300,2348,13,1.0891425609588623,6.148085534864319,True,1,SAFOD260002
11,552,596,2352,2396,12,0.8644121885299683,5.091966425894778,True,1,SAFOD260002
12,600,648,2400,2448,13,0.9812109470367432,4.850740030876149,False,1,SAFOD260002
13,652,696,2452,2496,12,0.9957889914512634,6.28282009583965,True,1,SAFOD260002
14,700,748,2500,2548,13,0.967247486114502,5.33298806492907,True,1,SAFOD260002
15,752,796,2552,2596,12,0.9814935922622681,6.72677939264022,True,1,SAFOD260002
16,800,848,2600,2648,13,0.9459416270256042,4.659199059316601,False,1,SAFOD260002
17,852,896,2652,2696,12,1.0260002613067627,4.505084149003802,False,1,SAFOD260002
18,900,948,2700,2748,13,0.9371176958084106,4.662154490867776,False,1,SAFOD260002
19,952,996,2752,2796,12,1.0301122665405273,8.904962475679218,True,1,SAFOD260002
20,1000,1048,2800,2848,13,0.9765520691871643,3.409293887336651,False,1,SAFOD260002
21,1052,1096,2852,2896,12,0.9572600722312927,4.151701032046916,False,1,SAFOD260002
22,1100,1148,2900,2948,13,1.016409993171692,4.705018404044259,False,1,SAFOD260002
23,1152,1196,2952,2996,12,0.9948179721832275,5.428117417753605,True,1,SAFOD260002
24,1200,1248,3000,3048,13,1.0963828563690186,6.594268645548669,True,1,SAFOD260002
25,1252,1296,3052,3096,12,0.9243767261505127,3.3451655013801243,False,1,SAFOD260002
26,1300,1348,3100,3148,13,0.9883177280426025,16.941197093627434,True,1,SAFOD260002
27,1352,1396,3152,3196,12,0.9745813608169556,5.269034454562385,True,1,SAFOD260002
28,1400,1448,3200,3248,13,0.9975834488868713,5.228267868032111,True,1,SAFOD260002
29,1452,1496,3252,3296,12,0.9554885625839233,7.698165254489312,True,1,SAFOD260002
30,1500,1548,3300,3348,13,0.9800741076469421,4.178926789157758,False,1,SAFOD260002
31,1552,1596,3352,3396,12,1.1999199390411377,6.940595123800704,True,1,SAFOD260002
32,1600,1648,3400,3448,13,0.960928738117218,2.6703781197265437,False,1,SAFOD260002
33,1652,1696,3452,3496,12,1.0892558097839355,7.56148683118419,True,1,SAFOD260002
34,1700,1748,3500,3548,13,1.0641225576400757,3.6207137603449895,False,1,SAFOD260002
35,1752,1796,3552,3596,12,1.0008018016815186,6.074778979844759,True,1,SAFOD260002
36,1800,1848,3600,3648,13,1.109649419784546,8.005757950414726,True,1,SAFOD260002
