block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.013537265635940463,12,PASS
1,90,175,90,175,18,18,0.008588318594633557,12,PASS
2,180,265,180,265,18,18,0.009000654088391225,12,PASS
3,270,355,270,355,18,18,0.007815685613095525,12,PASS
4,360,445,360,445,18,18,0.007013073843621199,12,PASS
5,450,535,450,535,18,18,0.007325674932775691,12,PASS
6,540,625,540,625,18,18,0.007929100714296698,12,PASS
7,630,715,630,715,18,18,0.007605075614474646,12,PASS
8,720,805,720,805,18,18,0.0074815611657750485,12,PASS
9,810,895,810,895,18,18,0.007917537650295257,12,PASS
