candidate_id,trigger_time,trigger_epoch_s,coincidence_score,threshold,coincidence_block_count,block_support_count_at_declared_ratio,block_characteristic_support_threshold,candidate_generation_label,network_candidate_time_fields_read,catalog_event_time_fields_read,heldout_interval_fields_read,family_assignment
das_generic_dev_0001,2025-01-20T04:55:32.801Z,1737348932.8016,1.508638858795166,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0002,2025-01-20T04:55:53.801Z,1737348953.8016,1.455542802810669,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0003,2025-01-20T04:56:04.751Z,1737348964.7516,1.4877009391784668,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0004,2025-01-20T04:56:44.401Z,1737349004.4016001,1.4060853719711304,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0005,2025-01-20T04:57:10.051Z,1737349030.0516,1.4658035039901733,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0006,2025-01-20T04:57:47.301Z,1737349067.3016,1.5182456970214844,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0007,2025-01-20T04:58:01.601Z,1737349081.6016,1.4665026664733887,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0008,2025-01-20T04:58:27.601Z,1737349107.6016,1.414867877960205,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0009,2025-01-20T04:58:55.851Z,1737349135.8516,1.728666067123413,1.3984489440917969,4,1,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0010,2025-01-20T04:59:40.301Z,1737349180.3016,1.4219489097595215,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0011,2025-01-20T05:00:03.501Z,1737349203.5016,1.4269039630889893,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0012,2025-01-20T05:01:38.451Z,1737349298.4516,1.4120757579803467,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0013,2025-01-20T05:03:05.901Z,1737349385.9016001,1.4180221557617188,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0014,2025-01-20T05:03:56.501Z,1737349436.5016,1.4114642143249512,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0015,2025-01-20T05:04:07.951Z,1737349447.9516,1.4090312719345093,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0016,2025-01-20T05:04:56.701Z,1737349496.7016,1.4202865362167358,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0017,2025-01-20T05:05:06.451Z,1737349506.4516,1.4208214282989502,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0018,2025-01-20T05:05:27.451Z,1737349527.4516,1.517554759979248,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0019,2025-01-20T05:08:07.201Z,1737349687.2016,1.3991260528564453,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0020,2025-01-20T05:08:34.451Z,1737349714.4516,1.4085392951965332,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
das_generic_dev_0021,2025-01-20T05:08:48.401Z,1737349728.4016001,1.4070171117782593,1.3984489440917969,4,0,2.0,raw_DAS_only_candidate_not_origin_event_or_family_truth,0,0,0,not_assigned
