selection_index,path,manifest_start_utc,manifest_end_utc,sample_rate_hz,channel_count,gauge_length_m,file_exists,size_bytes,selection_basis,hdf5_file_opened,hdf5_dataset_opened
1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045406Z.h5,2025-01-20T04:54:06.083Z,2025-01-20T04:55:06.081Z,500.0,900,16.335237503051758,True,35349233,primary_configuration_and_padded_interval_only,False,False
2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045506Z.h5,2025-01-20T04:55:06.083Z,2025-01-20T04:56:06.081Z,500.0,900,16.335237503051758,True,35446593,primary_configuration_and_padded_interval_only,False,False
3,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045606Z.h5,2025-01-20T04:56:06.083Z,2025-01-20T04:57:06.081Z,500.0,900,16.335237503051758,True,35280767,primary_configuration_and_padded_interval_only,False,False
4,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045706Z.h5,2025-01-20T04:57:06.083Z,2025-01-20T04:58:06.081Z,500.0,900,16.335237503051758,True,35291787,primary_configuration_and_padded_interval_only,False,False
5,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045806Z.h5,2025-01-20T04:58:06.083Z,2025-01-20T04:59:06.081Z,500.0,900,16.335237503051758,True,35375801,primary_configuration_and_padded_interval_only,False,False
6,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T045906Z.h5,2025-01-20T04:59:06.083Z,2025-01-20T05:00:06.081Z,500.0,900,16.335237503051758,True,35405526,primary_configuration_and_padded_interval_only,False,False
7,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T050006Z.h5,2025-01-20T05:00:06.083Z,2025-01-20T05:01:06.081Z,500.0,900,16.335237503051758,True,35329193,primary_configuration_and_padded_interval_only,False,False
8,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T050106Z.h5,2025-01-20T05:01:06.083Z,2025-01-20T05:02:06.081Z,500.0,900,16.335237503051758,True,35204357,primary_configuration_and_padded_interval_only,False,False
9,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T050206Z.h5,2025-01-20T05:02:06.083Z,2025-01-20T05:03:06.081Z,500.0,900,16.335237503051758,True,35286982,primary_configuration_and_padded_interval_only,False,False
10,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T050306Z.h5,2025-01-20T05:03:06.083Z,2025-01-20T05:04:06.081Z,500.0,900,16.335237503051758,True,35129085,primary_configuration_and_padded_interval_only,False,False
