trace_id,status,reason,maximum_positive_gap_s,native_sample_rate_hz,target_sample_rate_hz,sample_count,request_start_utc,request_end_utc
BK.PKD.HHE,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BK.PKD.HHN,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BK.PKD.HHZ,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.EADB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.EADB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.EADB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.FROB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.FROB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.FROB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.GHIB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.GHIB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.JCSB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.JCSB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.JCSB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.LCCB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.LCCB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.LCCB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.MMNB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.MMNB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.MMNB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SCYB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SCYB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SCYB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SMNB.DP1,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SMNB.DP2,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
BP.SMNB.DP3,usable,,0.0,250.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
NC.PSM.EHE,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
NC.PSM.EHN,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
NC.PSM.EHZ,usable,,0.0,100.0,100.0,303000,2025-01-20T04:54:45.000Z,2025-01-20T05:45:15.000Z
