detector,population,amplitude_snr,trial_count,recovered_count,recovery_fraction,wilson_95_low,wilson_95_high,is_primary_acceptance_row,minimum_primary_recovery_fraction,acceptance_status
template_bank,all,0.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,False,,diagnostic
template_bank,all,0.25,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
template_bank,all,0.5,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
template_bank,all,1.0,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
template_bank,all,2.0,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
template_bank,all,4.0,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
template_bank,neighbor_family_negative,0.0,20,0,0.0,0.0,0.16112515805281938,False,,diagnostic
template_bank,neighbor_family_negative,0.25,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
template_bank,neighbor_family_negative,0.5,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
template_bank,neighbor_family_negative,1.0,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
template_bank,neighbor_family_negative,2.0,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
template_bank,neighbor_family_negative,4.0,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
template_bank,target_positive,0.0,30,0,0.0,0.0,0.11351339317396876,False,,diagnostic
template_bank,target_positive,0.25,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
template_bank,target_positive,0.5,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
template_bank,target_positive,1.0,30,30,1.0,0.8864866068260312,0.9999999999999999,True,0.9,PASS
template_bank,target_positive,2.0,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
template_bank,target_positive,4.0,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
generic_trigger,all,0.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,False,,diagnostic
generic_trigger,all,0.25,50,0,0.0,6.938893903907228e-18,0.07134759913335872,False,,diagnostic
generic_trigger,all,0.5,50,0,0.0,6.938893903907228e-18,0.07134759913335872,False,,diagnostic
generic_trigger,all,1.0,50,36,0.72,0.5833487630404344,0.8252582933408878,False,,diagnostic
generic_trigger,all,2.0,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
generic_trigger,all,4.0,50,50,1.0,0.9286524008666414,1.0,False,,diagnostic
generic_trigger,neighbor_family_negative,0.0,20,0,0.0,0.0,0.16112515805281938,False,,diagnostic
generic_trigger,neighbor_family_negative,0.25,20,0,0.0,0.0,0.16112515805281938,False,,diagnostic
generic_trigger,neighbor_family_negative,0.5,20,0,0.0,0.0,0.16112515805281938,False,,diagnostic
generic_trigger,neighbor_family_negative,1.0,20,14,0.7,0.4810271816464765,0.8545227551323956,False,,diagnostic
generic_trigger,neighbor_family_negative,2.0,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
generic_trigger,neighbor_family_negative,4.0,20,20,1.0,0.8388748419471806,1.0,False,,diagnostic
generic_trigger,target_positive,0.0,30,0,0.0,0.0,0.11351339317396876,False,,diagnostic
generic_trigger,target_positive,0.25,30,0,0.0,0.0,0.11351339317396876,False,,diagnostic
generic_trigger,target_positive,0.5,30,0,0.0,0.0,0.11351339317396876,False,,diagnostic
generic_trigger,target_positive,1.0,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,True,0.9,STOP
generic_trigger,target_positive,2.0,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
generic_trigger,target_positive,4.0,30,30,1.0,0.8864866068260312,0.9999999999999999,False,,diagnostic
