comparison_candidate_id,interval_id,DAS_candidate_id,DAS_trigger_time,DAS_coincidence_score,DAS_strong_block_count,generic_network_above_frozen_threshold,template_network_above_frozen_threshold,nearest_cached_regional_event_id_within_30s,nearest_cached_regional_event_time_within_30s,nearest_cached_regional_time_difference_s,cached_regional_catalog_status,DAS_artifact_status,waveform_review_status,repeater_family_assignment
heldout_compare_0001,heldout_01,das_v2_heldout_01_0001,2024-05-27T17:12:20.449Z,2.0811076164245605,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0002,heldout_01,das_v2_heldout_01_0002,2024-05-27T17:15:26.299Z,2.0253076553344727,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0003,heldout_01,das_v2_heldout_01_0003,2024-05-27T17:17:24.899Z,2.0828657150268555,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0004,heldout_01,das_v2_heldout_01_0004,2024-05-27T17:18:18.099Z,2.256990671157837,7,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0006,heldout_01,das_v2_heldout_01_0005,2024-05-27T17:21:00.399Z,2.3517775535583496,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0007,heldout_01,das_v2_heldout_01_0006,2024-05-27T17:25:10.249Z,2.0720839500427246,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0018,heldout_03,das_v2_heldout_03_0001,2024-06-16T04:09:09.710Z,2.0819854736328125,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0021,heldout_03,das_v2_heldout_03_0002,2024-06-16T04:12:39.710Z,2.04178786277771,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0022,heldout_04,das_v2_heldout_04_0001,2024-06-18T12:11:33.916Z,2.3902082443237305,8,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0023,heldout_04,das_v2_heldout_04_0002,2024-06-18T12:16:44.916Z,2.0407676696777344,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0024,heldout_04,das_v2_heldout_04_0003,2024-06-18T12:18:20.316Z,2.148252010345459,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0025,heldout_04,das_v2_heldout_04_0004,2024-06-18T12:18:50.016Z,2.003779411315918,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0026,heldout_04,das_v2_heldout_04_0005,2024-06-18T12:23:06.266Z,2.302556037902832,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0027,heldout_04,das_v2_heldout_04_0006,2024-06-18T12:25:02.266Z,2.074012041091919,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0028,heldout_04,das_v2_heldout_04_0007,2024-06-18T12:27:54.816Z,2.007589817047119,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0029,heldout_04,das_v2_heldout_04_0008,2024-06-18T12:31:38.866Z,2.0743460655212402,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0030,heldout_04,das_v2_heldout_04_0009,2024-06-18T12:33:37.466Z,2.235687255859375,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0032,heldout_04,das_v2_heldout_04_0010,2024-06-18T12:41:57.816Z,2.108741283416748,6,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0033,heldout_04,das_v2_heldout_04_0011,2024-06-18T12:45:21.366Z,2.011129379272461,4,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0034,heldout_04,das_v2_heldout_04_0012,2024-06-18T12:48:05.116Z,2.1140971183776855,5,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
heldout_compare_0035,heldout_04,das_v2_heldout_04_0013,2024-06-18T12:50:29.666Z,2.1067943572998047,6,False,False,,,,NO_CACHED_BROAD_REGIONAL_EVENT_WITHIN_30S,PENDING,PENDING,not_assigned
