comparison_candidate_id,interval_id,comparison_time,comparison_epoch_s,comparison_time_basis,comparison_membership,DAS_candidate_id,DAS_parent_v1_candidate_id,DAS_trigger_time,DAS_trigger_epoch_s,DAS_coincidence_score,DAS_v1_interval_null_threshold,DAS_strong_block_count,DAS_v1_score_rank_within_interval,network_union_candidate_id,network_representative_time,network_representative_epoch_s,network_representative_time_basis,network_branch_membership,network_template_candidate_id,network_generic_candidate_id,DAS_minus_network_time_s,absolute_time_difference_s,matching_window_s,matching_rule,catalog_fields_used_in_matching,family_assignment
heldout_compare_0001,heldout_01,2024-05-27T17:12:20.449Z,1716829940.4498,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0001,das_v1_heldout_01_0022,2024-05-27T17:12:20.449Z,1716829940.4498,2.0811076164245605,1.5075535774230957,4,4,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0002,heldout_01,2024-05-27T17:15:26.299Z,1716830126.2998,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0002,das_v1_heldout_01_0026,2024-05-27T17:15:26.299Z,1716830126.2998,2.0253076553344727,1.5075535774230957,4,6,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0003,heldout_01,2024-05-27T17:17:24.899Z,1716830244.8998,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0003,das_v1_heldout_01_0028,2024-05-27T17:17:24.899Z,1716830244.8998,2.0828657150268555,1.5075535774230957,5,3,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0004,heldout_01,2024-05-27T17:18:18.099Z,1716830298.0998,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0004,das_v1_heldout_01_0029,2024-05-27T17:18:18.099Z,1716830298.0998,2.256990671157837,1.5075535774230957,7,2,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0005,heldout_01,2024-05-27T17:19:17.598Z,1716830357.598,network_representative,network_only,,,,,,,,,network_union_heldout_01_0001,2024-05-27T17:19:17.598Z,1716830357.598,template_origin,template_bank,network_template_heldout_01_0001,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0006,heldout_01,2024-05-27T17:21:00.399Z,1716830460.3998,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0005,das_v1_heldout_01_0030,2024-05-27T17:21:00.399Z,1716830460.3998,2.3517775535583496,1.5075535774230957,5,1,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0007,heldout_01,2024-05-27T17:25:10.249Z,1716830710.2498,DAS_energy_arrival,DAS_only,das_v2_heldout_01_0006,das_v1_heldout_01_0035,2024-05-27T17:25:10.249Z,1716830710.2498,2.0720839500427246,1.5075535774230957,4,5,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0008,heldout_01,2024-05-27T17:36:14.698Z,1716831374.698,network_representative,network_only,,,,,,,,,network_union_heldout_01_0002,2024-05-27T17:36:14.698Z,1716831374.698,template_origin,template_bank,network_template_heldout_01_0002,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0009,heldout_01,2024-05-27T17:41:34.098Z,1716831694.098,network_representative,network_only,,,,,,,,,network_union_heldout_01_0003,2024-05-27T17:41:34.098Z,1716831694.098,template_origin,template_bank,network_template_heldout_01_0003,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0010,heldout_01,2024-05-27T17:48:45.748Z,1716832125.748,network_representative,network_only,,,,,,,,,network_union_heldout_01_0004,2024-05-27T17:48:45.748Z,1716832125.748,template_origin,template_bank,network_template_heldout_01_0004,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0011,heldout_01,2024-05-27T17:50:56.398Z,1716832256.398,network_representative,network_only,,,,,,,,,network_union_heldout_01_0005,2024-05-27T17:50:56.398Z,1716832256.398,template_origin,template_bank,network_template_heldout_01_0005,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0012,heldout_02,2024-06-12T22:02:44.933Z,1718229764.9329998,network_representative,network_only,,,,,,,,,network_union_heldout_02_0001,2024-06-12T22:02:44.933Z,1718229764.9329998,generic_trigger_arrival,generic_trigger,,network_generic_heldout_02_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0013,heldout_03,2024-06-16T03:37:52.059Z,1718509072.059,network_representative,network_only,,,,,,,,,network_union_heldout_03_0001,2024-06-16T03:37:52.059Z,1718509072.059,generic_trigger_arrival,generic_trigger,,network_generic_heldout_03_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0014,heldout_03,2024-06-16T03:42:02.609Z,1718509322.609,network_representative,network_only,,,,,,,,,network_union_heldout_03_0002,2024-06-16T03:42:02.609Z,1718509322.609,template_origin,template_bank,network_template_heldout_03_0001,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0015,heldout_03,2024-06-16T03:52:19.459Z,1718509939.4589999,network_representative,network_only,,,,,,,,,network_union_heldout_03_0003,2024-06-16T03:52:19.459Z,1718509939.4589999,template_origin,template_bank,network_template_heldout_03_0002,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0016,heldout_03,2024-06-16T03:57:50.359Z,1718510270.359,network_representative,network_only,,,,,,,,,network_union_heldout_03_0004,2024-06-16T03:57:50.359Z,1718510270.359,template_origin,template_bank,network_template_heldout_03_0003,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0017,heldout_03,2024-06-16T04:07:01.859Z,1718510821.859,network_representative,network_only,,,,,,,,,network_union_heldout_03_0005,2024-06-16T04:07:01.859Z,1718510821.859,template_origin,template_bank,network_template_heldout_03_0004,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0018,heldout_03,2024-06-16T04:09:09.710Z,1718510949.7101998,DAS_energy_arrival,DAS_only,das_v2_heldout_03_0001,das_v1_heldout_03_0047,2024-06-16T04:09:09.710Z,1718510949.7101998,2.0819854736328125,1.3350657224655151,5,1,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0019,heldout_03,2024-06-16T04:09:33.759Z,1718510973.7589998,network_representative,network_only,,,,,,,,,network_union_heldout_03_0006,2024-06-16T04:09:33.759Z,1718510973.7589998,template_origin,template_bank,network_template_heldout_03_0005,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0020,heldout_03,2024-06-16T04:10:45.809Z,1718511045.809,network_representative,network_only,,,,,,,,,network_union_heldout_03_0007,2024-06-16T04:10:45.809Z,1718511045.809,template_origin,template_bank,network_template_heldout_03_0006,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
