interval_id,interval_start_utc,interval_end_utc,interval_status,selected_manifest_record_count,unique_hdf5_files_read,hdf5_chunk_file_use_count,sampled_channel_count,usable_sampled_channel_count,usable_block_count,chunk_count,score_sample_count,detection_threshold,observed_maximum_score,base_v1_candidate_count,v2_candidate_count,chunk_QC_sha256,channel_QC_sha256,block_QC_sha256,null_maxima_sha256,base_v1_candidate_sha256,v2_candidate_sha256,full_score_cache_sha256
heldout_01,2024-05-27T16:52:37.448Z,2024-05-27T17:52:37.448Z,PASS,61,61,73,180,180,10,13,72000,1.5075535774230957,2.3517775535583496,45,6,8f0cd55fef886a92ed2282420b8fef61a6424b6df5c7679f00b0ee6eff69818a,1accc6760f0f9e5666014fb396e5528a174222fdf2f0e00cbf952d475763bcb1,d4ad4a75bd338f71411b9a10b2052c9798b92104a753c7a419938b6289b45ae3,308d45bef38c997c601f13434517acb0f684385f3619f097474022ef7fb859bf,48691744327b61c63113362b43fb9b94e5845650b14e95cf8348968d34dc0116,c8fd74d7aa218d5d427ab890c27c06100a7c04def132c44ee5417644f223ddc7,4f604947df08ddc82b7bfb13010de76f5e415c59cfa339df7874bae19d7ff6bd
heldout_02,2024-06-12T21:57:21.083Z,2024-06-12T22:57:21.083Z,PASS,62,62,74,180,180,10,13,72000,1.269697904586792,1.6298279762268066,31,0,9b2d4c317d9faf9f4fcccfe1f59e7f8ad07f5592add2bc4fd423670870b59d7f,6e2cdbb87f520cc778dd4351b573c3d8663f481135556f939b2ee3ea117b1342,1ddb59a1eb8dfbea368b03307c3deeee571f2decc0d0f6685e3b04d49d8e6224,ddbdca0f0bdfa90622360847acaf8d0185ce05dfe7aab1d0f38b9408549fc227,c5d0c94da7e310122fc6413642a2be6bed1c642597e0493c622bc318f93d2061,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,c8ed9dd17bfe84b5eb6742cfa2e7065a9f179cef0ee07a95f50a6bbb0ed5fb75
heldout_03,2024-06-16T03:19:11.909Z,2024-06-16T04:19:11.909Z,PASS,61,61,73,180,180,10,13,72000,1.3350657224655151,2.0819854736328125,62,2,a7463dad3d941c6e5d6ca8aafa5532fb7d2f6dcbfad5c628485c958a307bdfe7,7d2f0a16618854cc3db16c695f675f2499df72d784f089d0ce2447a3ea65ecf7,e172dda2532cc626eea749db48319d7c78fa714ad1c27e9b158e4817c935bc25,21121050c75effc10bd064ebfd38220f76843f2513cfc571b490035118b94619,6caac18d50a6c0a9f405e43c82391ff97ab5de3e2bde0c1a060ca36113a17c79,121959a74c024f439f3fef6e5884bd0e14bd34605e63dc7628d7133536856367,9d082fb4a65880500683ad07cb27abd9a2f6297f9509780b9d18b8b7543ff9d4
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,PASS,61,61,85,180,180,10,13,72000,1.5268930196762085,2.3902082443237305,86,13,ebb07714ebc6e0240c28ecdc090854ad34ec95e987f16f4ac5d59db6d6f51c9c,68b754cbfaf078d918768252b68435b8a95ec7d0204215b93517e5e4fcdc62b0,0a93ccca271038387a4550f370a969a3b6ab8ad6ee0ea8549a9c42db6167c42a,7b09d3bd850faa84b1677b3571238256d7b772c46fec04b2df7ef127436a505e,8c17501a3d1bdf19b30ec7bae5a7c2c9c536fc6a4644bd82d42e4a96f9b5d7ce,ff9eb87d2b730366d53b2f3f8f2c61e06db7434369a0a3581745b0a00e4d1f28,c16468ad3487dca95d7ac05c759e88051f5b27020dca255c20d42e14c48483d9
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,PASS,61,61,73,180,180,10,13,72000,1.3456900119781494,1.615580439567566,59,0,a6fb43521d876defdc365f25b7a4a9988c3290dea7e714349c620319fad70b29,ce2e6460f5e93367d49cd5b6ba985c7afaee5f06f959432777956867aae39ed5,349ae1821855cd5dddb54fd4857464a64475224a6fb8be4f6451be5f305e1f24,f71ce5e748b2d6aa56850dbe0c177f4220679fbd92d5aadc3e272b7072e935f4,c9be44bdf77c276892c33c9cf63690cac8107a18a71638bd1e5981bf4b32bb74,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,32c31d81e565f9a692306026eed59017e6a026dca4bf91049a98576baccf338d
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,PASS,62,62,86,180,180,10,13,72000,1.3397445678710938,1.6404547691345215,79,0,fe00e8b20006bf083b7fcddd38cb9550c42a525cdad643196c24e3fd5faabc98,73d09cf4a8b2a10f0e0a1ade25ced0f4f3d5d88ff50a75578459fc18e1a5e098,373e5e54059aaac32f2d236f84698b400b0b827a5cf305fb11443c9f26ef0a6c,8e518c0da89d08e1ca4916481db688c269652f4a82a853b717c8baea67ecb34a,acafb91b936c92a1400107fd474fd40274d1748f0d261644cd55456902fea2c4,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,f1702095af7b75deb72f471bd4e502ef08cf8882de811d4103664bfc6e290f6d
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,PASS,61,61,85,180,180,10,13,72000,1.407982587814331,1.7970290184020996,67,0,82bb709905fed3e4d05b0a4ebfa5befc79103d8a5af1c672da19288a11a073a2,afb4bf22be50ff5a958708c88eeed51b59ea6f2bbef630171a4a1fb5b9bf6655,d5066fe96d19d3f65894fd318547b0d82eee19eaffb46e66d41db9f0c601efaf,ff662614504935ed2c3a019c921a113169333b3a965a2fab334dae11f5479595,961f9bfe227d8a35b2523109a070513458198e0ecb43f963605ea970e5e9de17,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,081a48fada43ca8646b4ad03eb7c421e9f33207c3c9949dad147e4771fc5e47a
heldout_08,2025-02-18T07:21:08.087Z,2025-02-18T08:21:08.087Z,PASS,62,62,86,180,180,10,13,72000,1.4216015338897705,4.176882743835449,64,1,6a04a002291baef1c1636f4355b28326ee2d8ab5937a9f1dd372055f61e564c2,bf1f7fc368f268229fdf1c72647e0cb489ea4d8f670761edcd7766001c5a1ed5,0a99a867684af936e966fe9022c5119b33521200b2a06847a899bb40466f3913,ec7290bda3a1e8e84bfa0c41dca0583e0c5bb0238a04679f4e87c9996975077f,48095e3046a9e0aa40ef914e9c0920cb88a2c5547288f3bcb9aa9655f018387e,7742e9211d1b16a5929212148d03fb6f7db0d45ff1b56d5c55241c1295eef4dd,4531b67391afe5a947ebe91661066562443e332ac88795d73850cea37a9a5731
heldout_09,2025-03-18T14:59:11.634Z,2025-03-18T15:59:11.634Z,PASS,62,62,86,180,180,10,13,72000,1.4629356861114502,1.9134531021118164,57,0,50a7136475768335f314da629b65e9ac2c04a7be9695feca631ea033c8d450ec,053a6764abf93244c8c1aadf5c3c548daa8d3d9ed8c46e035625acfc08a3e1c4,3ef0963d0ee4a993a76ae88e5819003e8f4c904a0590933278747583c030b850,c8ce92aaf4d024c0abbb2bcf5bbd9df7bab7d90a426d931978368069aceb1245,5c5a2982784133305f5c4983bb386dc191cd5b46602fa5d432aca705ba7d20de,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,ce11b5ac38f7b3b25ea4e024d25a9a4310abcfd2c448411dd388fa356963bb2e
heldout_10,2025-03-30T20:53:34.987Z,2025-03-30T21:53:34.987Z,PASS,61,61,85,180,180,10,13,72000,1.4058023691177368,1.6638984680175781,57,0,45beef53c353129816a8eb3700b330d404ce78507d48fdd3cdcb0792b967dc3c,fe1b36d8a3873a2956c8c46e110a23c34807ac84f5510f253b2a3c7a5524cb18,f10cab22b7b884336e2b92830dea287fb9733a128b0a13e9e01a715e2f1c9e48,df4a8fb1d722c2cc2421fbaeb5ee6d40bbba34baa69469f351b7f17f444d3a52,30d4e87af02c1f63152d72f47b6a164dff26fd625fd7d943a67dac8d314e2700,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,ee57f80e491540d059d2ca6c87774dfbdc9d19fe104cbe144f0fea8bcce0b737
heldout_11,2025-04-02T02:06:54.459Z,2025-04-02T03:06:54.459Z,PASS,62,62,74,180,180,10,13,72000,1.4326801300048828,1.784647822380066,60,0,7f272b7ad824ed774e6ec50db34f90fc570f29b6042ebfc12cfb78987257ad47,f63f5787053dcd087de7adc7c5f3d7d7f23d2fc88292108712f9c9e45750bb68,f07edefe730b34af075fc55a21405b1cfee022417c1a037d049e3811eb95566d,20d2f992f4ce29d9f781b82092cec95b8c58c2b131371f033bd58ed6cfe00b89,0a83a3f95c54ec6bb0830ffa084a2a4bff01be291bdc0078e73631621a4544f9,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,1346ae817d2353994893d301e87181d218cbc489213898e4f32ffd240d8d0932
heldout_12,2025-04-17T03:00:02.033Z,2025-04-17T04:00:02.033Z,PASS,62,62,74,180,180,10,13,72000,1.4111042022705078,1.6864073276519775,57,0,5c7cb387b5ffc2b07cb598f2bf2eed7d0298d3ab46cc0d11e230b7ac08056347,f9f9b71af58d52c5f4abc3f874c87876e0c91406fbd7ba5e444e31fb3f69519d,6e3863a44fe5b683d7328fb96cdcb611ad34c3889eba7752ab0f9059fd3089e5,efb70f462b6f422e04818631beaca0861e9833d3d5a6c7eae0dcf9622fd1ff4c,b184932c73bd199f3cc1b00a1495fe858fa6308f679706cb965c7375df5035be,1ea2fcace771fa0f2d5b850c00e394c5feb2e50995d248ec1fbd1fc575fbfd20,dbc7f4fc38eace906486de0b6f83720f546a6bad7e48bcc06e02fbf8236ce183
