block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,usable_channel_count,median_filtered_rms_phase_rad,minimum_usable_channels,status
0,0,85,0,85,18,18,0.015275153112822865,12,PASS
1,90,175,90,175,18,18,0.009184718782559598,12,PASS
2,180,265,180,265,18,18,0.009050433640302741,12,PASS
3,270,355,270,355,18,18,0.01236771664159397,12,PASS
4,360,445,360,445,18,18,0.010328912201516872,12,PASS
5,450,535,450,535,18,18,0.01223761880739806,12,PASS
6,540,625,540,625,18,18,0.014569424684166332,12,PASS
7,630,715,630,715,18,18,0.014936339934741121,12,PASS
8,720,805,720,805,18,18,0.012298809748259344,12,PASS
9,810,895,810,895,18,18,0.015583506410253398,12,PASS
