interval_id,interval_start_utc,interval_end_utc,interval_status,available_source_count,unavailable_source_count,usable_component_count,usable_station_count,template_branch_status,template_branch_reason,generic_branch_status,generic_branch_reason,template_candidate_count,generic_candidate_count,source_availability_sha256,trace_QC_sha256,template_QC_sha256,template_candidate_sha256,generic_candidate_sha256,full_score_cache_sha256,historical_template_waveform_files_opened
heldout_01,2024-05-27T16:52:37.448Z,2024-05-27T17:52:37.448Z,PASS,3,0,18,6,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,5,0,cda09a5255abcef3df413b8f773ca3d43d2bd8d80fd6f995924fe7408b4d61e5,09a244146990a1bbb58dfcee41f1dbe3fd18c29d06896b8466e4a8ae4628198e,6e397d4903207f722f71aa0c84b10b7c4a893476bcf29f2e22063f7206d17418,db806d9b6d6f39b3d5fac84b5d052d4481a7577a15331163d94f653a5b40368c,871ff6604bfbad0647c3d05c8b0c446a880203e174ab939e082f133136814133,d425d63eb0e224ea28e98de7c8edf2f2ed33eb4b39bffde7cb885ee7f936ea50,27
heldout_02,2024-06-12T21:57:21.083Z,2024-06-12T22:57:21.083Z,PASS,3,0,21,7,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,1,73f643eee6d8c4d70fa29f4ddf56e296eebfe3f6e49fc817e333023c66ff01c8,ab6e341a591f3676633b0c00da89670b18fb52293e6929cd699031ff42fbfdc3,5a3d3b97cf5d8603cf39506b1ced6f80fc96ca64dc5c3521a6d6fbf428826587,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,ce9dcca0435a82c11b02180a3c80ff55339be64c2e5892e7302ce1a1db4bb0ff,85e89d71d14fb0b80fc264acbaf3bd39925b3010c8a932abaa8d6920e124c7f7,27
heldout_03,2024-06-16T03:19:11.909Z,2024-06-16T04:19:11.909Z,PASS,3,0,19,7,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,6,1,19c3929e175956c6ad56a65086a42a7b270767db73adca808d807bfbecaee6b8,970832f5dbbc28b1ae52b9226bf0606a86bc7c3f7268e0e7189d04d9093c7ff4,90ab96cff707cef584246be3fc87ca8d270db5ee85943bab682648deb4939f80,bd90677f7125402bf2dbf1544e32f0d41351f1b384475000114fa73cf63a49f0,1cc34dc19da50e78ed5110733b2a61083c3c2bcedef35f0587c13c7aceb7fb52,ecc0ee0fc56b8625dd7471c69fd1a0861e64246b8fadef3a74d07c645ede20d2,27
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,PASS,3,0,21,7,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,1,0,c3ae7afab0b4e78882ed8c51a96b7219408e4558d2dafca2089ce5a15ab2d8ea,5c1c23e303d26293b00765338d7a14e68d763c484eac7905e4b3e1bdf543bfd4,5579afe2ca5fb6d14ec6308ba61ad7c7d911b3c37afdee3a394beeb390322c10,b412f3e618628cbfb0c2b0e6d4e9e4e72879bcba9db637a1c3711b9afd25ac3d,871ff6604bfbad0647c3d05c8b0c446a880203e174ab939e082f133136814133,7969d65867e5cfa45e6ec327a52cd59c9daa495cdd598f947e9c927a5cba05a6,27
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,PASS,3,0,32,11,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,0,69ab0056402e144f04b47661cc1b432dcf99e81e7d9819e85789c4ae50a81b3e,7a69957ecef4f8fc6e68f6b4f007189f5191baca0310e5857a032987436ceba8,a4dc26f6018cf3b7e1441b9a05f12eb202edd811444d544734c08441f7eaee45,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,871ff6604bfbad0647c3d05c8b0c446a880203e174ab939e082f133136814133,d128558e3e66e16eb6b3403134ce8b20da193b4f2c588158985aabc95cbc218f,27
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,PASS,3,0,26,9,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,1,bf1acb0a1de5799d8ebe6d3b327ae3be6aabe3d514ee18e15896c42402e3ef1a,35c0a97bbcb3f39e15b47c415bfa073ceb7dbdaffbf47df4d6c595fc99061012,ba8186fcaed07384b37c179386a5aa6beec704050f699a9bdfeaf0e171e2b5da,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,27a23d99d5be6837a69f92a5bb3b6f31b2ca1f3c1079ffce6eef8ed7ebaa4821,6a21f08996404d057f446afcb6eeb8638f6d3a948daeccb848f1a58671895344,27
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,PASS,2,1,26,9,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,2,7ce55befb656c0d032130b51fa2ca7416c268ee411605f61d093abfd40e39785,3fbaf88a8194891006d48f08966f909a3d7b4c2bccc07ceae0eb44f39890ad2b,a9a81820b2036f019b76c89cd9a21a634d12afd70260be88a2db87bad97426b9,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,e8232f722e050ab93dc4359e27f2ba36bdef8bda43b40db61fe42110c03a5632,4dfe881219a6a66b964234f5ada2142ebf0ac4c10e238354d4af4527d3142e31,27
heldout_08,2025-02-18T07:21:08.087Z,2025-02-18T08:21:08.087Z,PASS,3,0,35,12,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,3,d2ab6bc23e4da118470a172d79af9af4c92230e4fa95d092cefa8c9985b6b9f4,e65505f3fe72a81e89358f6a0d9b80a851ada1018c35c637ce0e6eb88a140fbc,f990b6ad138489c9a5214f3bec1b5787a8db12a98623d67121882e056f526508,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,207bfb83f0f3012f8369334a631f3d3149b7808cd4043aa046947adab8b63842,2cf277ade2b7cea85ab06f27f18f5d313b20d44d01a8f359aaf563d67448167e,27
heldout_09,2025-03-18T14:59:11.634Z,2025-03-18T15:59:11.634Z,PASS,3,0,35,12,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,2,3995443081b4f16fe6a5cbc615ee03c6a824b3a6c6fcf659b33724684bf389bb,41c5998de4c507f3bf9993776d7727a5b6be5eb6ca82e9b7b9614ee7a38bf21a,bf2975e7b80b2bc87ad32aeadb90ba3de43898084e87894d1e2afd7532322eb3,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,a31b5422caacd18a2d4d9045bee532530666ca2a94f91fc83bd4d6d1154802cf,5a5091d7b44db459cc2c5e92dfa79c9dfd33b8f0c249c2f5dbb951fc47f0f5eb,27
heldout_10,2025-03-30T20:53:34.987Z,2025-03-30T21:53:34.987Z,PASS,3,0,32,11,PASS,fixed_threshold_scan_complete,PASS,fixed_threshold_scan_complete,0,3,438067aa2b6c6796df5abf9eb73077f7da9ebb1ed0bb8ed1061876eb3739dfb2,05b0eb677c026122e95d59d9f6f877343b86b0c0b464689b30496940066fcc2e,633997707436cbfc0b2f88fb832d8f07d29e13945a3dbc0941b98825c8571c89,fde6f681ebfee7917464719b225d353a1207de3f09e3c495df6f1770df91548f,d1f7edafae0a97af78ef32f90e067d6b8c07ba2b96433f2a928b4b589767c43f,323f25d9d759382e58205657c11206679ffa4338a909e5b9541b0826de0db2d9,27
