array_job_id,array_task_id,interval_id,state,elapsed_s,exit_code,batch_max_rss_kib
39345238,1,heldout_01,COMPLETED,24,0:0,339076
39345238,2,heldout_02,COMPLETED,22,0:0,342736
39345238,3,heldout_03,COMPLETED,22,0:0,327276
39345238,4,heldout_04,COMPLETED,36,0:0,357520
39345238,5,heldout_05,COMPLETED,36,0:0,496960
39345238,6,heldout_06,COMPLETED,49,0:0,401456
39345238,7,heldout_07,COMPLETED,28,0:0,424596
39345238,8,heldout_08,COMPLETED,30,0:0,520960
39345238,9,heldout_09,COMPLETED,30,0:0,518732
39345238,10,heldout_10,COMPLETED,31,0:0,478500
39345238,11,heldout_11,COMPLETED,31,0:0,495180
39345238,12,heldout_12,COMPLETED,33,0:0,560036
