evaluation_unit_id,catalog_event_id,known_event_class,candidate_count,union_candidate_ids,interval_ids,branch_memberships,catalog_detection_extension_status,repeater_family_extension_status,catalog_conflict_STOP
candidate:network_union_heldout_01_0001,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_01_0001,heldout_01,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_01_0002,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_01_0002,heldout_01,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_01_0003,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_01_0003,heldout_01,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_01_0004,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_01_0004,heldout_01,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_01_0005,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_01_0005,heldout_01,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_02_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_02_0001,heldout_02,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0002,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0002,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0003,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0003,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0004,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0004,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0005,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0005,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0006,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0006,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_03_0007,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_03_0007,heldout_03,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_04_0001,,catalog_unassociated_template_only_inconclusive,1,network_union_heldout_04_0001,heldout_04,template_bank,candidate_only_broader_arrival_audit_not_applicable,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_06_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_06_0001,heldout_06,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_07_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_07_0001,heldout_07,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_07_0002,,catalog_unassociated_generic_candidate,1,network_union_heldout_07_0002,heldout_07,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_09_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_09_0001,heldout_09,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_10_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_10_0001,heldout_10,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_10_0002,,catalog_unassociated_generic_candidate,1,network_union_heldout_10_0002,heldout_10,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0001,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0001,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0002,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0002,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0003,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0003,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0004,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0004,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0005,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0005,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0006,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0006,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0007,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0007,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
candidate:network_union_heldout_11_0008,,catalog_unassociated_generic_candidate,1,network_union_heldout_11_0008,heldout_11,generic_trigger,candidate_only_requires_independent_waveform_confirmation,not_evaluated_catalog_evidence_cannot_assign_family,False
