interval_id,union_candidate_id,branch_membership,template_match_count,template_event_id,template_event_origin_time,template_time_residual_s,generic_direct_match_count,generic_direct_event_id,generic_direct_event_origin_time,generic_direct_time_residual_s,target_unique_event_ids,target_association_status
heldout_01,network_union_heldout_01_0001,template_bank,0,,,,0,,,,,none
heldout_01,network_union_heldout_01_0002,template_bank,0,,,,0,,,,,none
heldout_01,network_union_heldout_01_0003,template_bank,0,,,,0,,,,,none
heldout_01,network_union_heldout_01_0004,template_bank,0,,,,0,,,,,none
heldout_01,network_union_heldout_01_0005,template_bank,0,,,,0,,,,,none
heldout_02,network_union_heldout_02_0001,generic_trigger,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0001,generic_trigger,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0002,template_bank,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0003,template_bank,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0004,template_bank,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0005,template_bank,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0006,template_bank,0,,,,0,,,,,none
heldout_03,network_union_heldout_03_0007,template_bank,0,,,,0,,,,,none
heldout_04,network_union_heldout_04_0001,template_bank,0,,,,0,,,,,none
heldout_06,network_union_heldout_06_0001,generic_trigger,0,,,,0,,,,,none
heldout_07,network_union_heldout_07_0001,generic_trigger,0,,,,0,,,,,none
heldout_07,network_union_heldout_07_0002,generic_trigger,0,,,,0,,,,,none
heldout_08,network_union_heldout_08_0001,generic_trigger,0,,,,1,75135522,2025-02-18T07:44:25.320Z,1.316999912261963,75135522,generic_origin_audit_match_requires_physical_confirmation
heldout_08,network_union_heldout_08_0002,generic_trigger,0,,,,0,,,,,none
heldout_08,network_union_heldout_08_0003,generic_trigger,0,,,,0,,,,,none
heldout_09,network_union_heldout_09_0001,generic_trigger,0,,,,0,,,,,none
heldout_09,network_union_heldout_09_0002,generic_trigger,0,,,,0,,,,,none
heldout_10,network_union_heldout_10_0001,generic_trigger,0,,,,0,,,,,none
heldout_10,network_union_heldout_10_0002,generic_trigger,0,,,,0,,,,,none
heldout_10,network_union_heldout_10_0003,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0001,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0002,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0003,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0004,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0005,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0006,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0007,generic_trigger,0,,,,0,,,,,none
heldout_11,network_union_heldout_11_0008,generic_trigger,0,,,,0,,,,,none
