interval_id,interval_start_utc,interval_end_utc,query_start_utc,query_end_utc,event_service,catalog,bounds_json,request_url,cache_path,provenance_path,association_role,catalog_event_rows_opened_at_registration
heldout_01,2024-05-27T16:52:37.448Z,2024-05-27T17:52:37.448Z,2024-05-27T16:47:37.448Z,2024-05-27T17:52:37.448Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2024-05-27T16%3A47%3A37.448Z&endtime=2024-05-27T17%3A52%3A37.448Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_01.csv,cached_catalogs/heldout_v2/heldout_01.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_02,2024-06-12T21:57:21.083Z,2024-06-12T22:57:21.083Z,2024-06-12T21:52:21.083Z,2024-06-12T22:57:21.083Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2024-06-12T21%3A52%3A21.083Z&endtime=2024-06-12T22%3A57%3A21.083Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_02.csv,cached_catalogs/heldout_v2/heldout_02.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_03,2024-06-16T03:19:11.909Z,2024-06-16T04:19:11.909Z,2024-06-16T03:14:11.909Z,2024-06-16T04:19:11.909Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2024-06-16T03%3A14%3A11.909Z&endtime=2024-06-16T04%3A19%3A11.909Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_03.csv,cached_catalogs/heldout_v2/heldout_03.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,2024-06-18T12:04:53.565Z,2024-06-18T13:09:53.565Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2024-06-18T12%3A04%3A53.565Z&endtime=2024-06-18T13%3A09%3A53.565Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_04.csv,cached_catalogs/heldout_v2/heldout_04.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,2024-12-25T05:06:40.832Z,2024-12-25T06:11:40.832Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2024-12-25T05%3A06%3A40.832Z&endtime=2024-12-25T06%3A11%3A40.832Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_05.csv,cached_catalogs/heldout_v2/heldout_05.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,2025-01-03T03:49:15.472Z,2025-01-03T04:54:15.472Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2025-01-03T03%3A49%3A15.472Z&endtime=2025-01-03T04%3A54%3A15.472Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_06.csv,cached_catalogs/heldout_v2/heldout_06.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,2025-01-27T01:28:30.406Z,2025-01-27T02:33:30.406Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2025-01-27T01%3A28%3A30.406Z&endtime=2025-01-27T02%3A33%3A30.406Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_07.csv,cached_catalogs/heldout_v2/heldout_07.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_08,2025-02-18T07:21:08.087Z,2025-02-18T08:21:08.087Z,2025-02-18T07:16:08.087Z,2025-02-18T08:21:08.087Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2025-02-18T07%3A16%3A08.087Z&endtime=2025-02-18T08%3A21%3A08.087Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_08.csv,cached_catalogs/heldout_v2/heldout_08.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_09,2025-03-18T14:59:11.634Z,2025-03-18T15:59:11.634Z,2025-03-18T14:54:11.634Z,2025-03-18T15:59:11.634Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2025-03-18T14%3A54%3A11.634Z&endtime=2025-03-18T15%3A59%3A11.634Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_09.csv,cached_catalogs/heldout_v2/heldout_09.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
heldout_10,2025-03-30T20:53:34.987Z,2025-03-30T21:53:34.987Z,2025-03-30T20:48:34.987Z,2025-03-30T21:53:34.987Z,https://service.ncedc.org/fdsnws/event/1/query,NCSS,"{""maxdepth"":40.0,""maxlatitude"":42.5,""maxlongitude"":-114.0,""mindepth"":-5.0,""minlatitude"":32.0,""minlongitude"":-125.0,""minmagnitude"":-1.0}",https://service.ncedc.org/fdsnws/event/1/query?starttime=2025-03-30T20%3A48%3A34.987Z&endtime=2025-03-30T21%3A53%3A34.987Z&format=text&orderby=time&catalog=NCSS&minlatitude=32.0&maxlatitude=42.5&minlongitude=-125.0&maxlongitude=-114.0&mindepth=-5.0&maxdepth=40.0&minmagnitude=-1.0,cached_catalogs/heldout_v2/heldout_10.csv,cached_catalogs/heldout_v2/heldout_10.provenance.json,known_regional_event_arrival_veto_and_audit_only,0
