interval_id,interval_start_utc,interval_end_utc,interval_duration_s,padded_request_start_utc,padded_request_end_utc,filter_padding_s,selected_manifest_record_count,selected_existing_file_count,selected_total_size_bytes,selected_coverage_start_utc,selected_coverage_end_utc,maximum_manifest_gap_s,selection_basis,network_candidate_time_fields_read,catalog_event_time_fields_read,family_label_fields_read,hdf5_files_opened,hdf5_headers_opened,hdf5_datasets_opened,status
heldout_01,2024-05-27T16:52:37.448Z,2024-05-27T17:52:37.448Z,3600.0,2024-05-27T16:52:22.448Z,2024-05-27T17:52:52.448Z,15.0,61,61,2031089380,2024-05-27T16:52:04.969Z,2024-05-27T17:53:04.967Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_02,2024-06-12T21:57:21.083Z,2024-06-12T22:57:21.083Z,3600.0,2024-06-12T21:57:06.083Z,2024-06-12T22:57:36.083Z,15.0,62,62,2133413372,2024-06-12T21:56:35.622Z,2024-06-12T22:58:35.620Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_03,2024-06-16T03:19:11.909Z,2024-06-16T04:19:11.909Z,3600.0,2024-06-16T03:18:56.909Z,2024-06-16T04:19:26.909Z,15.0,61,61,2012011666,2024-06-16T03:18:35.622Z,2024-06-16T04:19:35.620Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,3600.0,2024-06-18T12:09:38.565Z,2024-06-18T13:10:08.565Z,15.0,61,61,2007922297,2024-06-18T12:09:35.622Z,2024-06-18T13:10:35.620Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,3600.0,2024-12-25T05:11:25.832Z,2024-12-25T06:11:55.832Z,15.0,61,61,2101422586,2024-12-25T05:11:06.082Z,2024-12-25T06:12:06.080Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,3600.0,2025-01-03T03:54:00.472Z,2025-01-03T04:54:30.472Z,15.0,62,62,2128114328,2025-01-03T03:53:06.082Z,2025-01-03T04:55:06.080Z,0.0019998550415039062,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,3600.0,2025-01-27T01:33:15.406Z,2025-01-27T02:33:45.406Z,15.0,61,61,2159736783,2025-01-27T01:33:06.083Z,2025-01-27T02:34:06.081Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_08,2025-02-18T07:21:08.087Z,2025-02-18T08:21:08.087Z,3600.0,2025-02-18T07:20:53.087Z,2025-02-18T08:21:23.087Z,15.0,62,62,2267977190,2025-02-18T07:20:07.969Z,2025-02-18T08:22:07.967Z,0.0019998550415039062,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_09,2025-03-18T14:59:11.634Z,2025-03-18T15:59:11.634Z,3600.0,2025-03-18T14:58:56.634Z,2025-03-18T15:59:26.634Z,15.0,62,62,2270670901,2025-03-18T14:58:07.971Z,2025-03-18T16:00:07.969Z,0.0019998550415039062,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_10,2025-03-30T20:53:34.987Z,2025-03-30T21:53:34.987Z,3600.0,2025-03-30T20:53:19.987Z,2025-03-30T21:53:49.987Z,15.0,61,61,2279075993,2025-03-30T20:53:07.972Z,2025-03-30T21:54:07.970Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_11,2025-04-02T02:06:54.459Z,2025-04-02T03:06:54.459Z,3600.0,2025-04-02T02:06:39.459Z,2025-04-02T03:07:09.459Z,15.0,62,62,2307731937,2025-04-02T02:06:07.972Z,2025-04-02T03:08:07.970Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
heldout_12,2025-04-17T03:00:02.033Z,2025-04-17T04:00:02.033Z,3600.0,2025-04-17T02:59:47.033Z,2025-04-17T04:00:17.033Z,15.0,62,62,2327385626,2025-04-17T02:59:07.972Z,2025-04-17T04:01:07.970Z,0.002000093460083008,interval_and_manifest_acquisition_metadata_only,0,0,0,0,0,0,PASS
