selection_index,interval_id,interval_file_index,path,manifest_start_utc,manifest_end_utc,sample_rate_hz,channel_count,gauge_length_m,file_exists,size_bytes,selection_basis,network_candidate_time_fields_read,catalog_event_time_fields_read,family_label_fields_read,hdf5_file_opened,hdf5_header_opened,hdf5_dataset_opened
1,heldout_01,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165204Z.h5,2024-05-27T16:52:04.969Z,2024-05-27T16:53:04.967Z,500.0,900,16.335237503051758,True,33356047,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
2,heldout_01,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165304Z.h5,2024-05-27T16:53:04.969Z,2024-05-27T16:54:04.967Z,500.0,900,16.335237503051758,True,34659153,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
3,heldout_01,3,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165404Z.h5,2024-05-27T16:54:04.969Z,2024-05-27T16:55:04.967Z,500.0,900,16.335237503051758,True,34339348,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
4,heldout_01,4,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165504Z.h5,2024-05-27T16:55:04.969Z,2024-05-27T16:56:04.967Z,500.0,900,16.335237503051758,True,34441300,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
5,heldout_01,5,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165604Z.h5,2024-05-27T16:56:04.969Z,2024-05-27T16:57:04.967Z,500.0,900,16.335237503051758,True,33925585,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
6,heldout_01,6,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165704Z.h5,2024-05-27T16:57:04.969Z,2024-05-27T16:58:04.967Z,500.0,900,16.335237503051758,True,33776322,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
7,heldout_01,7,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165804Z.h5,2024-05-27T16:58:04.969Z,2024-05-27T16:59:04.967Z,500.0,900,16.335237503051758,True,34614891,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
8,heldout_01,8,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T165904Z.h5,2024-05-27T16:59:04.969Z,2024-05-27T17:00:04.967Z,500.0,900,16.335237503051758,True,34514979,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
9,heldout_01,9,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170004Z.h5,2024-05-27T17:00:04.969Z,2024-05-27T17:01:04.967Z,500.0,900,16.335237503051758,True,34529657,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
10,heldout_01,10,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170104Z.h5,2024-05-27T17:01:04.969Z,2024-05-27T17:02:04.967Z,500.0,900,16.335237503051758,True,34416597,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
11,heldout_01,11,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170204Z.h5,2024-05-27T17:02:04.969Z,2024-05-27T17:03:04.967Z,500.0,900,16.335237503051758,True,34131269,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
12,heldout_01,12,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170304Z.h5,2024-05-27T17:03:04.969Z,2024-05-27T17:04:04.967Z,500.0,900,16.335237503051758,True,33856529,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
13,heldout_01,13,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170404Z.h5,2024-05-27T17:04:04.969Z,2024-05-27T17:05:04.967Z,500.0,900,16.335237503051758,True,33594308,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
14,heldout_01,14,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170504Z.h5,2024-05-27T17:05:04.969Z,2024-05-27T17:06:04.967Z,500.0,900,16.335237503051758,True,33511046,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
15,heldout_01,15,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170604Z.h5,2024-05-27T17:06:04.969Z,2024-05-27T17:07:04.967Z,500.0,900,16.335237503051758,True,33458577,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
16,heldout_01,16,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170704Z.h5,2024-05-27T17:07:04.969Z,2024-05-27T17:08:04.967Z,500.0,900,16.335237503051758,True,33290357,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
17,heldout_01,17,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170804Z.h5,2024-05-27T17:08:04.969Z,2024-05-27T17:09:04.967Z,500.0,900,16.335237503051758,True,33439943,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
18,heldout_01,18,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T170904Z.h5,2024-05-27T17:09:04.969Z,2024-05-27T17:10:04.967Z,500.0,900,16.335237503051758,True,33264397,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
19,heldout_01,19,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171004Z.h5,2024-05-27T17:10:04.969Z,2024-05-27T17:11:04.967Z,500.0,900,16.335237503051758,True,33078868,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
20,heldout_01,20,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171104Z.h5,2024-05-27T17:11:04.969Z,2024-05-27T17:12:04.967Z,500.0,900,16.335237503051758,True,33162967,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
21,heldout_01,21,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171204Z.h5,2024-05-27T17:12:04.969Z,2024-05-27T17:13:04.967Z,500.0,900,16.335237503051758,True,33170058,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
22,heldout_01,22,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171304Z.h5,2024-05-27T17:13:04.969Z,2024-05-27T17:14:04.967Z,500.0,900,16.335237503051758,True,32904597,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
23,heldout_01,23,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171404Z.h5,2024-05-27T17:14:04.969Z,2024-05-27T17:15:04.967Z,500.0,900,16.335237503051758,True,33019945,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
24,heldout_01,24,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171504Z.h5,2024-05-27T17:15:04.969Z,2024-05-27T17:16:04.967Z,500.0,900,16.335237503051758,True,32998747,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
25,heldout_01,25,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171604Z.h5,2024-05-27T17:16:04.969Z,2024-05-27T17:17:04.967Z,500.0,900,16.335237503051758,True,33011334,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
26,heldout_01,26,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171704Z.h5,2024-05-27T17:17:04.969Z,2024-05-27T17:18:04.967Z,500.0,900,16.335237503051758,True,32928827,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
27,heldout_01,27,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171804Z.h5,2024-05-27T17:18:04.969Z,2024-05-27T17:19:04.967Z,500.0,900,16.335237503051758,True,32965273,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
28,heldout_01,28,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_26052024_193843_UTC(+0000)/SAFOD-Zumberge-16mGL-500HzFs_2024-05-27T171904Z.h5,2024-05-27T17:19:04.969Z,2024-05-27T17:20:04.967Z,500.0,900,16.335237503051758,True,32782899,interval_and_manifest_acquisition_metadata_only,0,0,0,False,False,False
