event_id,source_name,network,availability,waveform_path,waveform_bytes,waveform_sha256,provenance_path,provenance_sha256,request_url,access_role,trace_count
21204713,hrsn_full,BP,available,cached_event_windows/network_array/21204713/hrsn_full.mseed,499712,83ccbd7686753edfb238b9e9c0328637f3cfe3807cc3fdf27fd3196e95e347b2,cached_event_windows/network_array/21204713/hrsn_full.provenance.json,8107ca719a2cd721ecb94d780ca69be75f815708289622f4a76ccdcd1999ac69,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2001-12-05T18%3A50%3A47.720Z&end=2001-12-05T18%3A51%3A27.720Z,historical_exact_id_training,33
21204713,ncsn_psm,NC,available,cached_event_windows/network_array/21204713/ncsn_psm.mseed,8192,61382bf82f3560a73b18ba864f3dd6e612f26e4bc1cfed9bd02a2c87084dfcde,cached_event_windows/network_array/21204713/ncsn_psm.provenance.json,d4565920d419ef1c76bc474ac2bc0840c352a7d6728085f267ee9fc1c7221562,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2001-12-05T18%3A50%3A47.720Z&end=2001-12-05T18%3A51%3A27.720Z,historical_exact_id_training,1
21204713,bdsn_pkd,BK,missing,cached_event_windows/network_array/21204713/bdsn_pkd.mseed,,,cached_event_windows/network_array/21204713/bdsn_pkd.provenance.json,,,,
21212835,hrsn_full,BP,available,cached_event_windows/network_array/21212835/hrsn_full.mseed,499712,8fa278b6c564594f3e31c7dc114a8e5c0824729201350297cce51a50a0640fe9,cached_event_windows/network_array/21212835/hrsn_full.provenance.json,196fc5bf36fd3c11531f7881ff3165c661c5d29aebb9f79f1cb55d585b8188de,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2002-02-15T09%3A34%3A32.192Z&end=2002-02-15T09%3A35%3A12.192Z,historical_exact_id_training,33
21212835,ncsn_psm,NC,available,cached_event_windows/network_array/21212835/ncsn_psm.mseed,8192,da3a96f32c839ca984933651f9645dabf7bc2871c9736b551e060fc0c04c0631,cached_event_windows/network_array/21212835/ncsn_psm.provenance.json,5614e0b0505fde1a690946b35e2934593ddc0c464976adadd53c9f0d558b7695,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2002-02-15T09%3A34%3A32.192Z&end=2002-02-15T09%3A35%3A12.192Z,historical_exact_id_training,1
21212835,bdsn_pkd,BK,missing,cached_event_windows/network_array/21212835/bdsn_pkd.mseed,,,cached_event_windows/network_array/21212835/bdsn_pkd.provenance.json,,,,
40220017,hrsn_full,BP,available,cached_event_windows/network_array/40220017/hrsn_full.mseed,659456,f638b93207cab16d72cf5278548566bb5320e5b7faf35e24d0ef87e66320cc38,cached_event_windows/network_array/40220017/hrsn_full.provenance.json,8996e45eefdd7fde35f84071a35c74aadf756bbf40bd3a880443b7fefdc6f0db,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2008-07-01T14%3A18%3A51.230Z&end=2008-07-01T14%3A19%3A31.230Z,historical_exact_id_training,33
40220017,ncsn_psm,NC,available,cached_event_windows/network_array/40220017/ncsn_psm.mseed,32768,ef35c43a6ffd2420e7ec32fd0b39c2d39bcc7b00c2e3a60eecc5e17de0dae8ad,cached_event_windows/network_array/40220017/ncsn_psm.provenance.json,da65314c5e9d32124bd8d3770a6dd892ea7e1e56ee2b1caf827579f16ddc434a,https://service.ncedc.org/fdsnws/dataselect/1/query?net=NC&sta=PSM&loc=%2A&cha=EHE%2CEHN%2CEHZ&start=2008-07-01T14%3A18%3A51.230Z&end=2008-07-01T14%3A19%3A31.230Z,historical_exact_id_training,3
40220017,bdsn_pkd,BK,available,cached_event_windows/network_array/40220017/bdsn_pkd.mseed,24576,95a5e5fe5ceea095c8392eed03838837d58b019f2e547983c48aeeb231dba396,cached_event_windows/network_array/40220017/bdsn_pkd.provenance.json,70d4a3a0a6a2907e9a1c18d9d945d2b890410fcc189c404d7382f5bee61975df,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BK&sta=PKD&loc=%2A&cha=HHE%2CHHN%2CHHZ&start=2008-07-01T14%3A18%3A51.230Z&end=2008-07-01T14%3A19%3A31.230Z,historical_exact_id_training,3
40237728,hrsn_full,BP,available,cached_event_windows/network_array/40237728/hrsn_full.mseed,659456,94658b582971a107fab10bf0da319d0c162d843ecbb6cd19eae0279bdfe391ed,cached_event_windows/network_array/40237728/hrsn_full.provenance.json,c16d3e27baae71e2230d467a8929f8d8700c68facb45efe229d384e0d4771f42,https://service.ncedc.org/fdsnws/dataselect/1/query?net=BP&sta=CCRB%2CEADB%2CFROB%2CGHIB%2CJCNB%2CJCSB%2CLCCB%2CMMNB%2CRMNB%2CSCYB%2CSMNB%2CVARB&loc=%2A&cha=DP1%2CDP2%2CDP3&start=2009-06-06T17%3A16%3A30.120Z&end=2009-06-06T17%3A17%3A10.120Z,historical_exact_id_training,57
