reference_event_id,comparison_event_id,band_low_hz,band_high_hz,usable_component_count,usable_station_count,median_correlation,p10_correlation,common_lag_s,differential_lag_rms_s,differential_lag_mad_s,station_lag_p10_p90_span_s,status,lag_definition
51214531,75336682,5.0,20.0,18,8,0.9795062107198844,0.9546640395932462,-0.012,0.00406201920231798,0.0,0.006199999999999999,PASS,station_median_peak_lag_minus_network_station_median
51214531,75343317,5.0,20.0,21,9,0.36997379360140437,0.2352936732486012,0.166,0.08156251862494465,0.006000000000000005,0.148,PASS,station_median_peak_lag_minus_network_station_median
71325295,75336682,5.0,20.0,20,7,0.9803659880902595,0.97164694438322,-0.004,0.00501426536422407,0.004,0.012,PASS,station_median_peak_lag_minus_network_station_median
71325295,75343317,5.0,20.0,23,8,0.3982809362348614,0.23498793355175013,0.14,0.0656810474946921,0.03799999999999998,0.132,PASS,station_median_peak_lag_minus_network_station_median
71567810,75336682,5.0,20.0,24,9,0.9818656760284152,0.9450213454803156,0.008,0.005696002496878355,0.004,0.0128,PASS,station_median_peak_lag_minus_network_station_median
71567810,75343317,5.0,20.0,27,10,0.3871562020582941,0.2211015241785313,0.11199999999999999,0.06601817931448882,0.04599999999999999,0.11359999999999998,PASS,station_median_peak_lag_minus_network_station_median
71908906,75336682,5.0,20.0,26,10,0.9784444275577473,0.8334752489671347,0.016,0.005513619500836089,0.002,0.012799999999999997,PASS,station_median_peak_lag_minus_network_station_median
71908906,75343317,5.0,20.0,29,11,0.3603981879449719,0.24274002451867996,0.188,0.052518395045753424,0.01999999999999999,0.09599999999999999,PASS,station_median_peak_lag_minus_network_station_median
72154411,75336682,5.0,20.0,24,9,0.9754336827552563,0.653045079852542,0.032,0.004898979485566356,0.0,0.010800000000000004,PASS,station_median_peak_lag_minus_network_station_median
72154411,75343317,5.0,20.0,27,10,0.4014894099475211,0.23433348783476013,0.176,0.04289055840158763,0.03900000000000001,0.0904,PASS,station_median_peak_lag_minus_network_station_median
72359026,75336682,5.0,20.0,22,8,0.9778240306863684,0.5955632632533908,0.028,0.005338539126015656,0.0009999999999999992,0.008799999999999999,PASS,station_median_peak_lag_minus_network_station_median
72359026,75343317,5.0,20.0,25,9,0.39424720513828,0.23842382760251768,0.16,0.06101001739241042,0.04799999999999999,0.1284,PASS,station_median_peak_lag_minus_network_station_median
