pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB..DP1,40,,CCRB,DP1,250.0,2.0-10.0Hz,2.0,10.0,691.3230767469552,118.79117905537943,0.9902468285460365,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB..DP1,40,,CCRB,DP1,250.0,5.0-20.0Hz,5.0,20.0,2716.944230232654,313.616315484446,0.9936300832642181,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB..DP1,40,,CCRB,DP1,250.0,10.0-40.0Hz,10.0,40.0,3802.5551128766233,581.3656965493266,0.9915480203731967,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP1,BP.CCRB.40.DP1,BP.CCRB..DP1,40,,CCRB,DP1,250.0,2.0-40.0Hz,2.0,40.0,1873.1209280535425,327.62317104245875,0.9899114125952173,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB..DP2,40,,CCRB,DP2,250.0,2.0-10.0Hz,2.0,10.0,690.1857849055642,90.21904482418113,0.9861254789858729,-0.004,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB..DP2,40,,CCRB,DP2,250.0,5.0-20.0Hz,5.0,20.0,1454.2922874862616,169.8874430739322,0.9847690772726064,-0.004,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB..DP2,40,,CCRB,DP2,250.0,10.0-40.0Hz,10.0,40.0,1306.7237794477207,222.8465286071905,0.9709621945867704,-0.008,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP2,BP.CCRB.40.DP2,BP.CCRB..DP2,40,,CCRB,DP2,250.0,2.0-40.0Hz,2.0,40.0,893.4849965063515,128.66859614792844,0.9660838118743592,-0.004,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB..DP3,40,,CCRB,DP3,250.0,2.0-10.0Hz,2.0,10.0,768.1813950694735,0.914485140562439,0.22484917235590296,-0.112,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB..DP3,40,,CCRB,DP3,250.0,5.0-20.0Hz,5.0,20.0,1572.42563530698,1.0682325954944083,0.24339100348582415,0.012,False
