interval_id,start_utc,end_utc,routine_catalog_event_count,count_revealed_after_manifest_only_selection
heldout_01,2024-05-27T16:52:37.448Z,2024-05-27T17:52:37.448Z,0,True
heldout_02,2024-06-12T21:57:21.083Z,2024-06-12T22:57:21.083Z,0,True
heldout_03,2024-06-16T03:19:11.909Z,2024-06-16T04:19:11.909Z,0,True
heldout_04,2024-06-18T12:09:53.565Z,2024-06-18T13:09:53.565Z,0,True
heldout_05,2024-12-25T05:11:40.832Z,2024-12-25T06:11:40.832Z,0,True
heldout_06,2025-01-03T03:54:15.472Z,2025-01-03T04:54:15.472Z,0,True
heldout_07,2025-01-27T01:33:30.406Z,2025-01-27T02:33:30.406Z,0,True
heldout_08,2025-02-18T07:21:08.087Z,2025-02-18T08:21:08.087Z,1,True
heldout_09,2025-03-18T14:59:11.634Z,2025-03-18T15:59:11.634Z,0,True
heldout_10,2025-03-30T20:53:34.987Z,2025-03-30T21:53:34.987Z,0,True
heldout_11,2025-04-02T02:06:54.459Z,2025-04-02T03:06:54.459Z,0,True
heldout_12,2025-04-17T03:00:02.033Z,2025-04-17T04:00:02.033Z,0,True
