pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable,reference_sequence_id,comparison_sequence_id,same_published_family
full_network_10088629_21088307,10088629,21088307,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,477.21981111491556,0.4600921915942394,-0.27,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21088307,10088629,21088307,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,359.32519880801965,0.745718469275226,-0.25,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21088307,10088629,21088307,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,80.5755304297994,0.7323310227956604,-0.23,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21088307,10088629,21088307,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,341.58290368186476,0.4106493875232548,-0.27,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21100860,10088629,21100860,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,36.04303685796549,0.48229703177986477,-0.08,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21100860,10088629,21100860,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,37.98262609197826,0.7452150586135461,-0.06,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21100860,10088629,21100860,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,18.399153712194078,0.6339024723640542,-0.04,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21100860,10088629,21100860,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,34.55715588153473,0.4341721851923763,-0.08,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21204713,10088629,21204713,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,430.3295997962848,0.4667528426809462,-0.1,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21204713,10088629,21204713,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,350.21222988065165,0.7513465462823055,-0.07,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21204713,10088629,21204713,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,71.43153018209162,0.7712398039865349,-0.05,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21204713,10088629,21204713,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,289.3645360890193,0.4133273512497453,-0.09,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21212835,10088629,21212835,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,95.8392972001779,0.4872011289321118,-0.09,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21212835,10088629,21212835,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,64.63386182271692,0.7558617979027868,-0.07,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21212835,10088629,21212835,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,14.672057497416246,0.6689003471663688,-0.05,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21212835,10088629,21212835,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,61.102548727493,0.4404636654055007,-0.08,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21260770,10088629,21260770,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,643.0912029957024,0.44891189681076105,-0.11,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21260770,10088629,21260770,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,402.22769883394506,0.740792673591136,-0.08,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21260770,10088629,21260770,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,89.17330732663078,0.8108227464745259,-0.06,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21260770,10088629,21260770,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,358.98788764179255,0.3857652997712726,-0.1,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_21260771,10088629,21260771,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,89.76839245798848,0.46000708537646867,-0.09,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21260771,10088629,21260771,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,64.63473385243991,0.7643399633136717,-0.07,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21260771,10088629,21260771,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,10.0-40.0Hz,10.0,40.0,16.200625345405527,14.287501097601405,0.6598534366941805,-0.05,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_21260771,10088629,21260771,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-40.0Hz,2.0,40.0,65.48206760051038,56.89916307120035,0.40554346057830226,-0.09,True,R1.0697.5199.0,R1.2172.7737.0,False
full_network_10088629_213203,10088629,213203,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,2.0-10.0Hz,2.0,10.0,135.33311384958182,215.13735946544213,0.45024581825940274,0.2,True,R1.0697.5199.0,R1.0697.5199.0,True
full_network_10088629_213203,10088629,213203,NC.PSM.EHZ,NC.PSM..EHZ,NC.PSM..EHZ,,,PSM,EHZ,100.0,5.0-20.0Hz,5.0,20.0,86.5276212614967,178.52571849146057,0.7467909041302134,0.22,True,R1.0697.5199.0,R1.0697.5199.0,True
