pair_name,reference_event_id,comparison_event_id,reference_sequence_id,comparison_sequence_id,same_published_family,usable_metric_count,minimum_components_per_supported_band,minimum_stations_per_supported_band,overall_median_correlation,weakest_supported_band_median_correlation,status
full_network_10088629_21088307,10088629,21088307,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.5962116071949499,0.4106493875232548,STOP
full_network_10088629_21100860,10088629,21100860,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.5580997520719595,0.4341721851923763,STOP
full_network_10088629_21204713,10088629,21204713,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.6090496944816258,0.4133273512497453,STOP
full_network_10088629_21212835,10088629,21212835,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.5780507380492403,0.4404636654055007,STOP
full_network_10088629_21260770,10088629,21260770,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.5948522852009486,0.3857652997712726,STOP
full_network_10088629_21260771,10088629,21260771,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.5599302610353246,0.40554346057830226,STOP
full_network_10088629_213203,10088629,213203,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.5970832550148912,0.3929307120173935,STOP
full_network_10088629_30066019,10088629,30066019,R1.0697.5199.0,R1.0697.5199.0,True,3,0,0,0.557651207301381,0.4833889680430197,STOP
full_network_10088629_40220017,10088629,40220017,R1.0697.5199.0,R1.3027.11698.0,False,4,1,1,0.5151154859685187,0.37853237429430475,STOP
full_network_10088629_40237728,10088629,40237728,R1.0697.5199.0,R1.3027.11698.0,False,4,1,1,0.5145839110246281,0.3653001766461189,STOP
full_network_10088629_51214531,10088629,51214531,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.5447364269109353,0.394637488262909,STOP
full_network_10088629_524545,10088629,524545,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.5572493478177138,0.25004551967104177,STOP
full_network_10088629_71325295,10088629,71325295,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.5102274279323178,0.36621072100211555,STOP
full_network_10088629_71567810,10088629,71567810,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.5201010299231789,0.3929384738861585,STOP
full_network_10088629_71908906,10088629,71908906,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.5197564854915604,0.3852702159789664,STOP
full_network_10088629_72154411,10088629,72154411,R1.0697.5199.0,R1.2900.11955.0,False,0,0,0,,,STOP
full_network_10088629_72359026,10088629,72359026,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.5377937101419642,0.40744471647978936,STOP
full_network_21088307_21100860,21088307,21100860,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.9677079073792572,0.7726060994598241,STOP
full_network_21088307_21204713,21088307,21204713,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.9748570992437238,0.9424914362913115,STOP
full_network_21088307_21212835,21088307,21212835,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.9607390673926701,0.7970867961320982,STOP
full_network_21088307_21260770,21088307,21260770,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.9607216328802328,0.8983975048898032,STOP
full_network_21088307_21260771,21088307,21260771,R1.0697.5199.0,R1.2172.7737.0,False,4,1,1,0.9624332619173205,0.7520026882760709,STOP
full_network_21088307_213203,21088307,213203,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.9714171818800239,0.9273736980519769,STOP
full_network_21088307_30066019,21088307,30066019,R1.0697.5199.0,R1.0697.5199.0,True,3,0,0,0.8934169983760482,0.8766705102782784,STOP
full_network_21088307_40220017,21088307,40220017,R1.0697.5199.0,R1.3027.11698.0,False,4,1,1,0.974133450883595,0.8473792355790254,STOP
full_network_21088307_40237728,21088307,40237728,R1.0697.5199.0,R1.3027.11698.0,False,4,1,1,0.9564682614902449,0.8254361078021941,STOP
full_network_21088307_51214531,21088307,51214531,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.9309238372442927,0.8334402958072344,STOP
full_network_21088307_524545,21088307,524545,R1.0697.5199.0,R1.0697.5199.0,True,4,1,1,0.4009551043985484,0.24577937192209248,STOP
full_network_21088307_71325295,21088307,71325295,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.9571732348216448,0.8057487115642827,STOP
full_network_21088307_71567810,21088307,71567810,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.9790821260410268,0.8581562013126426,STOP
full_network_21088307_71908906,21088307,71908906,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.944397391295086,0.8349655416178176,STOP
full_network_21088307_72154411,21088307,72154411,R1.0697.5199.0,R1.2900.11955.0,False,0,0,0,,,STOP
full_network_21088307_72359026,21088307,72359026,R1.0697.5199.0,R1.2900.11955.0,False,4,1,1,0.9158005750198432,0.7816960560630309,STOP
full_network_21100860_21204713,21100860,21204713,R1.2172.7737.0,R1.0697.5199.0,False,4,1,1,0.9400338056141773,0.7973453144402711,STOP
full_network_21100860_21212835,21100860,21212835,R1.2172.7737.0,R1.2172.7737.0,True,4,1,1,0.9851660722115365,0.9496884162568802,STOP
full_network_21100860_21260770,21100860,21260770,R1.2172.7737.0,R1.0697.5199.0,False,4,1,1,0.9187542065742766,0.7442006102487603,STOP
full_network_21100860_21260771,21100860,21260771,R1.2172.7737.0,R1.2172.7737.0,True,4,1,1,0.9702446172121042,0.9555894233305047,STOP
full_network_21100860_213203,21100860,213203,R1.2172.7737.0,R1.0697.5199.0,False,4,1,1,0.9484965231258891,0.80895290921397,STOP
full_network_21100860_30066019,21100860,30066019,R1.2172.7737.0,R1.0697.5199.0,False,3,0,0,0.8738403991499522,0.8612638113626084,STOP
full_network_21100860_40220017,21100860,40220017,R1.2172.7737.0,R1.3027.11698.0,False,4,1,1,0.9487630519842007,0.7908381898889781,STOP
full_network_21100860_40237728,21100860,40237728,R1.2172.7737.0,R1.3027.11698.0,False,4,1,1,0.9270358304881645,0.8202308563856431,STOP
full_network_21100860_51214531,21100860,51214531,R1.2172.7737.0,R1.2900.11955.0,False,4,1,1,0.899770849893822,0.7671223196167594,STOP
full_network_21100860_524545,21100860,524545,R1.2172.7737.0,R1.0697.5199.0,False,4,1,1,0.4242376914541228,0.20617205298204214,STOP
full_network_21100860_71325295,21100860,71325295,R1.2172.7737.0,R1.2900.11955.0,False,4,1,1,0.924687992270687,0.8126544879815026,STOP
