event_id,origin_time,source_name,network,status,trace_count,error,sequence_id,validation_role
10088629,1988-12-05T13:47:07.940Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 10088629,R1.0697.5199.0,neighbor_family_negative
10088629,1988-12-05T13:47:07.940Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
10088629,1988-12-05T13:47:07.940Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 10088629,R1.0697.5199.0,neighbor_family_negative
213203,1991-05-16T13:44:45.770Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 213203,R1.0697.5199.0,neighbor_family_negative
213203,1991-05-16T13:44:45.770Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
213203,1991-05-16T13:44:45.770Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 213203,R1.0697.5199.0,neighbor_family_negative
30066019,1995-01-10T02:02:35.480Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 30066019,R1.0697.5199.0,neighbor_family_negative
30066019,1995-01-10T02:02:35.480Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
30066019,1995-01-10T02:02:35.480Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 30066019,R1.0697.5199.0,neighbor_family_negative
524545,1997-10-07T15:10:07.790Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 524545,R1.0697.5199.0,neighbor_family_negative
524545,1997-10-07T15:10:07.790Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
524545,1997-10-07T15:10:07.790Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 524545,R1.0697.5199.0,neighbor_family_negative
21088307,2000-03-25T16:05:01.500Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 21088307,R1.0697.5199.0,neighbor_family_negative
21088307,2000-03-25T16:05:01.500Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
21088307,2000-03-25T16:05:01.500Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21088307,R1.0697.5199.0,neighbor_family_negative
21204713,2001-12-05T18:50:57.720Z,hrsn_full,BP,available,33,,R1.0697.5199.0,neighbor_family_negative
21204713,2001-12-05T18:50:57.720Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
21204713,2001-12-05T18:50:57.720Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21204713,R1.0697.5199.0,neighbor_family_negative
21260770,2002-12-22T12:44:44.730Z,hrsn_full,BP,available,6,,R1.0697.5199.0,neighbor_family_negative
21260770,2002-12-22T12:44:44.730Z,ncsn_psm,NC,available,1,,R1.0697.5199.0,neighbor_family_negative
21260770,2002-12-22T12:44:44.730Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21260770,R1.0697.5199.0,neighbor_family_negative
21100860,2000-05-29T16:01:25.280Z,hrsn_full,BP,unavailable,0,RuntimeError: empty hrsn_full response for event 21100860,R1.2172.7737.0,neighbor_family_negative
21100860,2000-05-29T16:01:25.280Z,ncsn_psm,NC,available,1,,R1.2172.7737.0,neighbor_family_negative
21100860,2000-05-29T16:01:25.280Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21100860,R1.2172.7737.0,neighbor_family_negative
21212835,2002-02-15T09:34:42.192Z,hrsn_full,BP,available,33,,R1.2172.7737.0,neighbor_family_negative
21212835,2002-02-15T09:34:42.192Z,ncsn_psm,NC,available,1,,R1.2172.7737.0,neighbor_family_negative
21212835,2002-02-15T09:34:42.192Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21212835,R1.2172.7737.0,neighbor_family_negative
21260771,2002-12-22T12:53:13.210Z,hrsn_full,BP,available,6,,R1.2172.7737.0,neighbor_family_negative
21260771,2002-12-22T12:53:13.210Z,ncsn_psm,NC,available,1,,R1.2172.7737.0,neighbor_family_negative
21260771,2002-12-22T12:53:13.210Z,bdsn_pkd,BK,unavailable,0,RuntimeError: empty bdsn_pkd response for event 21260771,R1.2172.7737.0,neighbor_family_negative
51214531,2009-01-03T16:23:06.332Z,hrsn_full,BP,available,33,,R1.2900.11955.0,target_positive
51214531,2009-01-03T16:23:06.332Z,ncsn_psm,NC,available,3,,R1.2900.11955.0,target_positive
51214531,2009-01-03T16:23:06.332Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
71325295,2009-12-23T13:47:13.791Z,hrsn_full,BP,available,33,,R1.2900.11955.0,target_positive
71325295,2009-12-23T13:47:13.791Z,ncsn_psm,NC,available,3,,R1.2900.11955.0,target_positive
71325295,2009-12-23T13:47:13.791Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
71567810,2011-05-10T07:25:02.864Z,hrsn_full,BP,available,30,,R1.2900.11955.0,target_positive
71567810,2011-05-10T07:25:02.864Z,ncsn_psm,NC,available,3,,R1.2900.11955.0,target_positive
71567810,2011-05-10T07:25:02.864Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
71908906,2012-12-22T22:54:51.000Z,hrsn_full,BP,available,33,,R1.2900.11955.0,target_positive
71908906,2012-12-22T22:54:51.000Z,ncsn_psm,NC,available,3,,R1.2900.11955.0,target_positive
71908906,2012-12-22T22:54:51.000Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
72154411,2014-02-02T21:41:40.550Z,hrsn_full,BP,available,33,,R1.2900.11955.0,target_positive
72154411,2014-02-02T21:41:40.550Z,ncsn_psm,NC,unavailable,0,RuntimeError: empty ncsn_psm response for event 72154411,R1.2900.11955.0,target_positive
72154411,2014-02-02T21:41:40.550Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
72359026,2014-12-02T05:15:15.120Z,hrsn_full,BP,available,26,,R1.2900.11955.0,target_positive
72359026,2014-12-02T05:15:15.120Z,ncsn_psm,NC,available,3,,R1.2900.11955.0,target_positive
72359026,2014-12-02T05:15:15.120Z,bdsn_pkd,BK,available,3,,R1.2900.11955.0,target_positive
40220017,2008-07-01T14:19:01.230Z,hrsn_full,BP,available,33,,R1.3027.11698.0,neighbor_family_negative
40220017,2008-07-01T14:19:01.230Z,ncsn_psm,NC,available,3,,R1.3027.11698.0,neighbor_family_negative
40220017,2008-07-01T14:19:01.230Z,bdsn_pkd,BK,available,3,,R1.3027.11698.0,neighbor_family_negative
