event_id,origin_time,published_sequence_id,is_published_target,eligible_target_anchor_count,target_anchors_used,target_anchor_event_ids,median_target_correlation,median_target_differential_lag_rms_s,score_status,score_reason
10088629,1988-12-05T13:47:07.940Z,R1.0697.5199.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
213203,1991-05-16T13:44:45.770Z,R1.0697.5199.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
30066019,1995-01-10T02:02:35.480Z,R1.0697.5199.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
524545,1997-10-07T15:10:07.790Z,R1.0697.5199.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
21088307,2000-03-25T16:05:01.500Z,R1.0697.5199.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
21204713,2001-12-05T18:50:57.500Z,R1.0697.5199.0,False,6,6,51214531;71908906;71325295;72154411;71567810;72359026,0.9860121542133209,0.09329979429493879,PASS,eligible
21260770,2002-12-22T12:44:44.500Z,R1.0697.5199.0,False,2,2,71325295;71567810,0.9548322605447177,0.018563512281199235,PASS,eligible
21100860,2000-05-29T16:01:25.280Z,R1.2172.7737.0,False,0,0,,,,STOP,fewer_than_minimum_target_anchors
21212835,2002-02-15T09:34:42.140Z,R1.2172.7737.0,False,6,6,71567810;71325295;51214531;71908906;72359026;72154411,0.9097936588528048,0.03559622824962998,PASS,eligible
21260771,2002-12-22T12:53:13.200Z,R1.2172.7737.0,False,2,2,71325295;71567810,0.8879629630983974,0.00404145188432738,PASS,eligible
51214531,2009-01-03T16:23:06.250Z,R1.2900.11955.0,True,5,5,71908906;71325295;72154411;72359026;71567810,0.9911702158310844,0.0035276684147527862,PASS,eligible
71325295,2009-12-23T13:47:13.740Z,R1.2900.11955.0,True,5,5,51214531;71908906;72154411;71567810;72359026,0.9901659609716986,0.002748737083745109,PASS,eligible
71567810,2011-05-10T07:25:02.810Z,R1.2900.11955.0,True,5,5,71325295;51214531;71908906;72154411;72359026,0.9782590949526361,0.004807401700618653,PASS,eligible
71908906,2012-12-22T22:54:51.030Z,R1.2900.11955.0,True,5,5,51214531;71325295;72154411;71567810;72359026,0.9910250347336658,0.005460602697338621,PASS,eligible
72154411,2014-02-02T21:41:40.570Z,R1.2900.11955.0,True,5,5,51214531;71908906;71325295;72359026;71567810,0.9901659609716986,0.003590109871423006,PASS,eligible
72359026,2014-12-02T05:15:15.120Z,R1.2900.11955.0,True,5,5,72154411;51214531;71908906;71325295;71567810,0.9773860556134204,0.0035276684147527862,PASS,eligible
40220017,2008-07-01T14:19:01.180Z,R1.3027.11698.0,False,6,6,71325295;71908906;51214531;72154411;71567810;72359026,0.9881655851526213,0.003566802280516602,PASS,eligible
40237728,2009-06-06T17:16:40.140Z,R1.3027.11698.0,False,6,6,71325295;51214531;71908906;72154411;72359026;71567810,0.9906493961911176,0.0032366859965235603,PASS,eligible
