pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP1,BP.EADB.40.DP1,BP.EADB..DP1,40,,EADB,DP1,250.0,2.0-10.0Hz,2.0,10.0,56.031946809565106,55.3225379456065,0.511099287985089,-0.16,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP1,BP.EADB.40.DP1,BP.EADB..DP1,40,,EADB,DP1,250.0,5.0-20.0Hz,5.0,20.0,72.98212828082903,49.23983759786967,0.40742860961251476,0.188,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP1,BP.EADB.40.DP1,BP.EADB..DP1,40,,EADB,DP1,250.0,10.0-40.0Hz,10.0,40.0,47.935627514073076,22.81690640706947,0.3737487899671731,-0.116,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP1,BP.EADB.40.DP1,BP.EADB..DP1,40,,EADB,DP1,250.0,2.0-40.0Hz,2.0,40.0,57.28917474620155,47.72855654273528,0.4449687278467602,-0.16,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP2,BP.EADB.40.DP2,BP.EADB..DP2,40,,EADB,DP2,250.0,2.0-10.0Hz,2.0,10.0,73.65366172060705,71.52809277891325,0.7300843975671871,-0.168,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP2,BP.EADB.40.DP2,BP.EADB..DP2,40,,EADB,DP2,250.0,5.0-20.0Hz,5.0,20.0,78.52094778834993,55.82815466044312,0.4896265390087369,-0.348,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP2,BP.EADB.40.DP2,BP.EADB..DP2,40,,EADB,DP2,250.0,10.0-40.0Hz,10.0,40.0,40.93324295832498,26.050706530428297,0.38690480846896086,-0.12,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP2,BP.EADB.40.DP2,BP.EADB..DP2,40,,EADB,DP2,250.0,2.0-40.0Hz,2.0,40.0,72.9661944996183,61.634001284173195,0.6780816993054593,-0.168,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,2.0-10.0Hz,2.0,10.0,64.6350242345437,53.58546716213634,0.7455796699012235,-0.176,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,5.0-20.0Hz,5.0,20.0,42.657053675560675,31.45918885892672,0.4332991833589269,-0.348,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,10.0-40.0Hz,10.0,40.0,30.96687244868647,13.397308551939556,0.33641855216479616,-0.112,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.EADB.DP3,BP.EADB.40.DP3,BP.EADB..DP3,40,,EADB,DP3,250.0,2.0-40.0Hz,2.0,40.0,62.17653324886996,40.080114834370974,0.7102223843610507,-0.18,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.JCSB.DP3,BP.JCSB.40.DP3,BP.JCSB..DP3,40,,JCSB,DP3,250.0,2.0-10.0Hz,2.0,10.0,6.277123439700193,0.9953798428100272,0.1449717803248194,0.496,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.JCSB.DP3,BP.JCSB.40.DP3,BP.JCSB..DP3,40,,JCSB,DP3,250.0,5.0-20.0Hz,5.0,20.0,9.985723367013932,1.0057189921744092,0.14990202289642146,0.148,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.JCSB.DP3,BP.JCSB.40.DP3,BP.JCSB..DP3,40,,JCSB,DP3,250.0,10.0-40.0Hz,10.0,40.0,7.90153718237302,1.0795684761271183,0.11073833717145393,0.392,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.JCSB.DP3,BP.JCSB.40.DP3,BP.JCSB..DP3,40,,JCSB,DP3,250.0,2.0-40.0Hz,2.0,40.0,7.515500225989906,1.0400833932061937,0.08505443485956674,0.392,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB..DP1,40,,LCCB,DP1,250.0,2.0-10.0Hz,2.0,10.0,354.1446924355489,57.18499040453204,0.748002201342227,-0.192,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB..DP1,40,,LCCB,DP1,250.0,5.0-20.0Hz,5.0,20.0,633.5112152779667,65.02017320565218,0.7056883441213218,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB..DP1,40,,LCCB,DP1,250.0,10.0-40.0Hz,10.0,40.0,570.4953051173836,45.74787659674204,0.6156693727487396,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB..DP1,40,,LCCB,DP1,250.0,2.0-40.0Hz,2.0,40.0,411.18076655257306,51.13748371532447,0.6810140948677973,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB..DP2,40,,LCCB,DP2,250.0,2.0-10.0Hz,2.0,10.0,181.11973525698036,339.07191327236086,0.8552228930379739,-0.208,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB..DP2,40,,LCCB,DP2,250.0,5.0-20.0Hz,5.0,20.0,239.61641870102505,380.79922745145615,0.5594394339444347,-0.2,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB..DP2,40,,LCCB,DP2,250.0,10.0-40.0Hz,10.0,40.0,146.57595887681452,225.26153528557327,0.36467267089950245,-0.12,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB..DP2,40,,LCCB,DP2,250.0,2.0-40.0Hz,2.0,40.0,164.71257805779325,269.7435359163324,0.4671290251044201,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB..DP3,40,,LCCB,DP3,250.0,2.0-10.0Hz,2.0,10.0,404.1481046702741,455.4043116511137,0.6933072317879565,-0.188,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB..DP3,40,,LCCB,DP3,250.0,5.0-20.0Hz,5.0,20.0,643.6883052732694,611.6722687752268,0.5222045988122168,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB..DP3,40,,LCCB,DP3,250.0,10.0-40.0Hz,10.0,40.0,556.3691433186489,480.70426262605315,0.45886918722865544,-0.12,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB..DP3,40,,LCCB,DP3,250.0,2.0-40.0Hz,2.0,40.0,442.31061843089503,461.57774872518115,0.5698734396045357,-0.196,True
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.MMNB.DP1,BP.MMNB.40.DP1,BP.MMNB..DP1,40,,MMNB,DP1,250.0,2.0-10.0Hz,2.0,10.0,90.55988107248722,1.4744418828185892,0.1466567742171247,-0.3,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.MMNB.DP1,BP.MMNB.40.DP1,BP.MMNB..DP1,40,,MMNB,DP1,250.0,5.0-20.0Hz,5.0,20.0,170.19330212199108,1.3497729850336648,0.2288366632838199,-0.448,False
prospective_75021072_target_anchor_51214531,75021072,51214531,BP.MMNB.DP1,BP.MMNB.40.DP1,BP.MMNB..DP1,40,,MMNB,DP1,250.0,10.0-40.0Hz,10.0,40.0,125.94067291470193,1.406303627915425,0.15033025770511102,-0.02,False
