candidate_event_id,target_anchor_event_id,usable_metric_count,minimum_components_per_supported_band,minimum_stations_per_supported_band,overall_median_correlation,status
75021072,51214531,60,15,6,0.49581669301685694,PASS
75021072,71325295,60,15,6,0.48490152324124575,PASS
75021072,71567810,80,20,7,0.48004769284642657,PASS
75021072,71908906,83,20,8,0.4583619070536764,PASS
75021072,72154411,61,15,6,0.4424607745337384,PASS
75021072,72359026,76,19,8,0.449832007465603,PASS
75120101,51214531,77,17,8,0.401857412522769,PASS
75120101,71325295,78,17,7,0.385235298155445,PASS
75120101,71567810,95,22,9,0.41336874818907493,PASS
75120101,71908906,94,22,9,0.4090749643215571,PASS
75120101,72154411,75,17,7,0.3830638136633628,PASS
75120101,72359026,86,19,7,0.42454138962646004,PASS
75120116,51214531,84,21,9,0.3617664224592988,PASS
75120116,71325295,88,22,8,0.3784687087781138,PASS
75120116,71567810,104,26,10,0.3930908559144148,PASS
75120116,71908906,99,24,10,0.388895388273226,PASS
75120116,72154411,85,21,8,0.37723820336422026,PASS
75120116,72359026,96,24,9,0.4090587047220856,PASS
75153522,51214531,85,21,9,0.46839704564005896,PASS
75153522,71325295,93,23,9,0.4479742946942963,PASS
75153522,71567810,112,28,11,0.4598195728599218,PASS
75153522,71908906,123,30,12,0.4262324890067476,PASS
75153522,72154411,102,25,10,0.39491285277996013,PASS
75153522,72359026,101,25,10,0.40928614639528044,PASS
75162676,51214531,97,24,10,0.5533909875791467,PASS
75162676,71325295,105,26,10,0.5684180764443291,PASS
75162676,71567810,114,28,11,0.5617056931038309,PASS
75162676,71908906,131,32,13,0.5342856381322297,PASS
75162676,72154411,114,28,11,0.505588556518753,PASS
75162676,72359026,113,28,11,0.5273023206775559,PASS
